"Date (UTC)","Timestamp (UTC)","António José Seguro (IND)","João Cotrim Figueiredo (IL)","André Ventura (CH)","Luís Marques Mendes (PSD)","Henrique Gouveia e Melo (IND)"
"10-16-2025 23:00","1760655604","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 00:00","1760659208","0.105","0.0165","0.132","0.215","0.5"
"10-17-2025 01:00","1760662803","0.105","0.016","0.1335","0.215","0.5"
"10-17-2025 02:00","1760666406","0.105","0.016","0.1335","0.215","0.5"
"10-17-2025 03:00","1760670004","0.105","0.016","0.1335","0.215","0.5"
"10-17-2025 04:00","1760673603","0.105","0.016","0.134","0.215","0.5"
"10-17-2025 05:00","1760677204","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 06:00","1760680804","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 07:00","1760684408","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 08:00","1760688009","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 09:00","1760691603","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 10:00","1760695206","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 11:00","1760698809","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 12:00","1760702410","0.105","0.016","0.1345","0.215","0.5"
"10-17-2025 13:00","1760706004","0.115","0.016","0.1345","0.215","0.5"
"10-17-2025 14:00","1760709605","0.11","0.0155","0.1345","0.215","0.5"
"10-17-2025 15:00","1760713213","0.11","0.0135","0.1345","0.215","0.5"
"10-17-2025 16:00","1760716804","0.11","0.0135","0.1345","0.215","0.5"
"10-17-2025 17:00","1760720415","0.11","0.0135","0.1335","0.215","0.5"
"10-17-2025 18:00","1760724004","0.11","0.0135","0.1325","0.215","0.5"
"10-17-2025 19:00","1760727604","0.11","0.0135","0.1345","0.215","0.5"
"10-17-2025 20:00","1760731214","0.11","0.0135","0.1345","0.215","0.5"
"10-17-2025 21:00","1760734812","0.11","0.014","0.1345","0.215","0.5"
"10-17-2025 22:00","1760738414","0.11","0.014","0.1345","0.215","0.5"
"10-17-2025 23:00","1760742014","0.11","0.014","0.1335","0.215","0.5"
"10-18-2025 00:00","1760745615","0.11","0.014","0.1345","0.215","0.5"
"10-18-2025 01:00","1760749213","0.11","0.014","0.1335","0.215","0.5"
"10-18-2025 02:00","1760752812","0.11","0.014","0.1345","0.215","0.5"
"10-18-2025 03:00","1760756410","0.11","0.014","0.135","0.215","0.5"
"10-18-2025 04:00","1760760004","0.11","0.014","0.1355","0.215","0.5"
"10-18-2025 05:00","1760763608","0.11","0.014","0.135","0.215","0.5"
"10-18-2025 06:00","1760767210","0.11","0.014","0.1345","0.215","0.5"
"10-18-2025 07:00","1760770805","0.11","0.014","0.133","0.215","0.5"
"10-18-2025 08:00","1760774404","0.11","0.014","0.133","0.215","0.5"
"10-18-2025 09:00","1760778014","0.11","0.014","0.133","0.215","0.5"
"10-18-2025 10:00","1760781604","0.115","0.014","0.131","0.215","0.5"
"10-18-2025 11:00","1760785203","0.115","0.014","0.131","0.215","0.505"
"10-18-2025 12:00","1760788813","0.115","0.014","0.131","0.215","0.505"
"10-18-2025 13:00","1760792404","0.115","0.014","0.131","0.215","0.505"
"10-18-2025 14:00","1760796004","0.115","0.014","0.131","0.215","0.505"
"10-18-2025 15:00","1760799606","0.115","0.014","0.131","0.215","0.505"
"10-18-2025 16:00","1760803208","0.115","0.014","0.131","0.215","0.5"
"10-18-2025 17:00","1760806804","0.115","0.014","0.131","0.215","0.5"
"10-18-2025 18:00","1760810411","0.115","0.014","0.133","0.225","0.505"
"10-18-2025 19:00","1760814006","0.115","0.014","0.1325","0.225","0.505"
"10-18-2025 20:00","1760817612","0.115","0.0135","0.1315","0.225","0.505"
"10-18-2025 21:00","1760821203","0.115","0.0135","0.132","0.225","0.505"
"10-18-2025 22:00","1760824811","0.115","0.0135","0.132","0.225","0.505"
"10-18-2025 23:00","1760828404","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 00:00","1760832008","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 01:00","1760835608","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 02:00","1760839205","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 03:00","1760842811","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 04:00","1760846408","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 05:00","1760850006","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 06:00","1760853604","0.115","0.0135","0.1315","0.225","0.505"
"10-19-2025 07:00","1760857203","0.115","0.0135","0.1315","0.225","0.5"
"10-19-2025 08:00","1760860803","0.115","0.0135","0.1315","0.225","0.5"
"10-19-2025 09:00","1760864403","0.115","0.0135","0.1315","0.225","0.5"
"10-19-2025 10:00","1760868009","0.115","0.0135","0.1315","0.225","0.5"
"10-19-2025 11:00","1760871608","0.115","0.0135","0.131","0.225","0.5"
"10-19-2025 12:00","1760875220","0.115","0.0135","0.131","0.22","0.5"
"10-19-2025 13:00","1760878804","0.115","0.0135","0.131","0.22","0.5"
"10-19-2025 14:00","1760882408","0.115","0.0135","0.131","0.22","0.5"
"10-19-2025 15:00","1760886009","0.115","0.0135","0.131","0.22","0.5"
"10-19-2025 16:00","1760889607","0.115","0.0135","0.131","0.22","0.505"
"10-19-2025 17:00","1760893208","0.115","0.0135","0.131","0.22","0.505"
"10-19-2025 18:00","1760896803","0.115","0.0135","0.131","0.22","0.505"
"10-19-2025 19:00","1760900408","0.115","0.0135","0.131","0.22","0.5"
"10-19-2025 20:00","1760904004","0.115","0.0135","0.131","0.22","0.5"
"10-19-2025 21:00","1760907607","0.115","0.0135","0.131","0.22","0.5"
"10-19-2025 22:00","1760911207","0.115","0.0135","0.131","0.22","0.505"
"10-19-2025 23:00","1760914804","0.115","0.0135","0.126","0.205","0.51"
"10-20-2025 00:00","1760918406","0.115","0.0135","0.1175","0.205","0.525"
"10-20-2025 01:00","1760922003","0.115","0.0135","0.119","0.205","0.525"
"10-20-2025 02:00","1760925603","0.115","0.0135","0.119","0.205","0.525"
"10-20-2025 03:00","1760929212","0.115","0.0135","0.119","0.205","0.525"
"10-20-2025 04:00","1760932803","0.115","0.0135","0.119","0.205","0.525"
"10-20-2025 05:00","1760936413","0.115","0.0135","0.1185","0.205","0.525"
"10-20-2025 06:00","1760940005","0.115","0.0135","0.1195","0.205","0.525"
"10-20-2025 07:00","1760943611","0.115","0.0135","0.1205","0.205","0.525"
"10-20-2025 08:00","1760947203","0.115","0.0135","0.1195","0.21","0.52"
"10-20-2025 09:00","1760950803","0.115","0.0135","0.1195","0.21","0.53"
"10-20-2025 10:00","1760954404","0.13","0.0135","0.111","0.215","0.52"
"10-20-2025 11:00","1760958006","0.13","0.0135","0.1125","0.215","0.525"
"10-20-2025 12:00","1760961609","0.12","0.0135","0.1075","0.215","0.525"
"10-20-2025 13:00","1760965209","0.125","0.0135","0.108","0.215","0.525"
"10-20-2025 14:00","1760968808","0.125","0.0135","0.109","0.215","0.52"
"10-20-2025 15:00","1760972413","0.125","0.0135","0.1085","0.215","0.52"
"10-20-2025 16:00","1760976003","0.13","0.0135","0.113","0.21","0.525"
"10-20-2025 17:00","1760979605","0.13","0.0135","0.115","0.21","0.53"
"10-20-2025 18:00","1760983204","0.13","0.0135","0.111","0.21","0.53"
"10-20-2025 19:00","1760986803","0.13","0.0135","0.113","0.21","0.53"
"10-20-2025 20:00","1760990405","0.13","0.0135","0.1055","0.21","0.53"
"10-20-2025 21:00","1760994008","0.175","0.01","0.0835","0.21","0.515"
"10-20-2025 22:00","1760997603","0.17","0.0105","0.089","0.21","0.515"
"10-20-2025 23:00","1761001205","0.17","0.01","0.0885","0.205","0.515"
"10-21-2025 00:00","1761004813","0.175","0.01","0.0885","0.21","0.52"
