"Date (UTC)","Timestamp (UTC)","Michelle Obama","Ron DeSantis","Kamala Harris","Donald Trump","Joe Biden","Nikki Haley","Vivek Ramaswamy","Gavin Newsom","Robert F. Kennedy Jr.","Chris Christie","Hillary Clinton","Bernie Sanders","AOC","Elizabeth Warren","Kanye West","Other Democrat Politician","Other Republican Politician"
"09-11-2024 23:00","1726095601","0.0045","0.0005","0.732","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 00:00","1726099202","0.0045","0.0005","0.732","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 01:00","1726102801","0.0045","0.0005","0.7295","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 02:00","1726106402","0.0045","0.0005","0.7325","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 03:00","1726110002","0.0045","0.0005","0.736","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 04:00","1726113602","0.0045","0.0005","0.7395","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 05:00","1726117202","0.005","0.0005","0.7375","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 06:00","1726120803","0.005","0.0005","0.736","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-12-2024 07:00","1726124402","0.0055","0.0005","0.7335","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 08:00","1726128001","0.0055","0.0005","0.739","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 09:00","1726131602","0.0055","0.0005","0.734","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 10:00","1726135202","0.0055","0.0005","0.733","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 11:00","1726138802","0.0055","0.0005","0.733","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-12-2024 12:00","1726142402","0.0055","0.0005","0.7355","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-12-2024 13:00","1726146002","0.0055","0.0005","0.7375","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-12-2024 14:00","1726149601","0.0055","0.0005","0.7375","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 15:00","1726153202","0.005","0.0005","0.737","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 16:00","1726156802","0.0055","0.0005","0.735","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 17:00","1726160402","0.0055","0.0005","0.737","0.255","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 18:00","1726164001","0.0055","0.0005","0.7385","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 19:00","1726167602","0.0055","0.0005","0.7405","0.25","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 20:00","1726171202","0.0055","0.0005","0.743","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 21:00","1726174802","0.0055","0.0005","0.7435","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 22:00","1726178402","0.0055","0.0005","0.744","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-12-2024 23:00","1726182002","0.0055","0.0005","0.7445","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-13-2024 00:00","1726185602","0.0045","0.0005","0.745","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 01:00","1726189202","0.0045","0.0005","0.7445","0.24","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 02:00","1726192802","0.0045","0.0005","0.7465","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 03:00","1726196402","0.0045","0.0005","0.7475","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-13-2024 04:00","1726200001","0.0045","0.0005","0.7475","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-13-2024 05:00","1726203602","0.0045","0.0005","0.747","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 06:00","1726207201","0.0045","0.0005","0.747","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 07:00","1726210801","0.0045","0.0005","0.749","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-13-2024 08:00","1726214402","0.0045","0.0005","0.749","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 09:00","1726218002","0.005","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-13-2024 10:00","1726221602","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-13-2024 11:00","1726225202","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
