"Date (UTC)","Timestamp (UTC)","Luís Marques Mendes (PSD)","António José Seguro (IND)","Henrique Gouveia e Melo (IND)","João Cotrim Figueiredo (IL)","André Ventura (CH)","Rui Moreira (IND)","Paulo Portas (CDS)","Catarina Martins (BE)","Tim Vieira (IND)","Joana Amaral Dias (ADN)","André Pestana (IND)","Orlando Cruz (IND)","Aristides Teixeira (IND)","Manuela Magno (IND)","Pedro Tinoco de Faria (IND)","Vitorino Silva (IND)","Ângela Maryah (IND)","António Filipe (PCP)","Raul Perestrello (IND)","José Cardoso (PLS)","Pedro Passos Coelho (PSD)","Jorge Pinto"
"10-05-2025 22:00","1759701603","0.145","0.08","0.45","0.0105","0.176","0.005","0.0025","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-05-2025 23:00","1759705202","0.145","0.08","0.45","0.0105","0.176","0.005","0.0025","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 00:00","1759708804","0.145","0.08","0.45","0.0105","0.176","0.005","0.0025","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 01:00","1759712402","0.145","0.08","0.45","0.0105","0.176","0.005","0.0025","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 02:00","1759716002","0.15","0.08","0.485","0.0105","0.175","0.005","0.0025","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 03:00","1759719603","0.15","0.08","0.55","0.0105","0.175","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 04:00","1759723202","0.15","0.08","0.55","0.0105","0.175","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 05:00","1759726802","0.15","0.08","0.55","0.0105","0.175","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 06:00","1759730402","0.15","0.08","0.55","0.0105","0.175","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 07:00","1759734002","0.15","0.08","0.55","0.0105","0.175","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 08:00","1759737602","0.15","0.08","0.55","0.0105","0.175","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 09:00","1759741203","0.15","0.08","0.55","0.0105","0.1745","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 10:00","1759744802","0.15","0.08","0.55","0.0105","0.1745","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 11:00","1759748402","0.15","0.08","0.55","0.0105","0.1735","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 12:00","1759752004","0.15","0.08","0.54","0.0105","0.1735","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 13:00","1759755602","0.15","0.08","0.545","0.0105","0.1735","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 14:00","1759759203","0.15","0.08","0.545","0.0105","0.1735","0.005","0.0215","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 15:00","1759762802","0.15","0.08","0.5","0.01","0.174","0.005","0.018","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 16:00","1759766403","0.155","0.08","0.5","0.0085","0.174","0.005","0.018","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 17:00","1759770002","0.15","0.08","0.5","0.0085","0.1755","0.005","0.018","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 18:00","1759773602","0.155","0.08","0.5","0.008","0.176","0.005","0.013","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.001","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 19:00","1759777202","0.155","0.08","0.52","0.008","0.1735","0.005","0.012","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 20:00","1759780802","0.155","0.08","0.5","0.0085","0.1735","0.005","0.011","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 21:00","1759784402","0.15","0.08","0.5","0.0085","0.1755","0.005","0.0135","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 22:00","1759788002","0.155","0.08","0.5","0.0085","0.1675","0.005","0.01","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-06-2025 23:00","1759791602","0.155","0.08","0.5","0.0085","0.1665","0.005","0.01","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-07-2025 00:00","1759795202","0.155","0.08","0.5","0.0085","0.1665","0.005","0.0095","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-07-2025 01:00","1759798802","0.155","0.08","0.5","0.008","0.166","0.005","0.0095","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-07-2025 02:00","1759802403","0.155","0.08","0.5","0.008","0.165","0.005","0.009","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
"10-07-2025 03:00","1759806002","0.14","0.08","0.48","0.0085","0.146","0.005","0.009","0.002","0.0025","0.001","0.0025","0.002","0.001","0.0005","0.002","0.0015","0.001","0.001","0.001","0.001","0.002",""
